canonical_name,status,file_name,source,source_title,source_page_url,image_url,match_method,sha256,width,height,notes
HG 1/144 O GUNDAM(Type A.C.D.),downloaded,HG 1_144 O GUNDAM(Type A.C.D.)__2e13ef961b.jpg,dalong,O Gundam (Type A.C.D.),https://www.dalong.net/reviews/00/0h45/0h45_p_e.htm,https://www.dalong.net/reviews/00/0h45/p/0h45.jpg,exact,8d852ba25f7ce9b673fffaef6ac8960bbbeb08ef2f265679101fb673f5c5c190,289,186,
HG 1/144 O RAISER,downloaded,HG 1_144 O RAISER__97f20636d4.jpg,dalong,Oraiser,https://www.dalong.net/reviews/00/0112/0112_p_e.htm,https://www.dalong.net/reviews/00/0112/p/0112.jpg,exact,56e206ceb2e2d1e3fee12ffec10b551188fcb45c8ca5e0c8384848f76bc63ede,184,289,
HG 1/144 OGRE GN-X,downloaded,HG 1_144 OGRE GN-X__e616c7ce78.jpg,dalong,Ogre GN-X,https://www.dalong.net/reviews/bf/bd05/bd05_p_e.htm,https://www.dalong.net/reviews/bf/bd05/p/bd05.jpg,exact,5be83a2a8f5074f358e9cd941f91fe23ce1ac16201190dc7d9b42aecf28c356e,1200,732,
HG 1/144 OLTLINDE,downloaded,HG 1_144 OLTLINDE__37be9d9893.jpg,gunpla_hangar,V03-0907 Oltlinde,https://gunplahangar.com/kits/hgi-bo-v03-0907-oltlinde,https://gunplahangar.com/img/kits/hgi-bo-v03-0907-oltlinde/box-art-800.jpg,source_model_code_hangar_exact,8ac932e043231badc68602f3544c82424ba36912d9023d1a1bef250881c0ec62,800,800,
HG 1/144 OO GUNDAM,downloaded,HG 1_144 OO GUNDAM__5da5827e3c.jpg,gunpla_hangar,GN-0000 00 Gundam,https://gunplahangar.com/kits/hg00-gn-0000-00-gundam,https://gunplahangar.com/img/kits/hg00-gn-0000-00-gundam/box-art-800.jpg,source_model_code_hangar_exact,3b58d929f9f8db2a65d436e754bf976e383215ec65edc04ad9d7e4d7702e4f95,800,511,
HG 1/144 OO GUNDAM SEVEN SWORD/G,downloaded,HG 1_144 OO GUNDAM SEVEN SWORD_G__66c7c96feb.jpg,dalong,OO Gundam Seven Sword/G,https://www.dalong.net/reviews/00/0h61/0h61_p_e.htm,https://www.dalong.net/reviews/00/0h61/p/0h61.jpg,exact,fdab67a7a6d5c77480aeb5786b893d66778efe34e491e219eee1df6dea3077ca,290,178,
HG 1/144 OO QAN[T],downloaded,HG 1_144 OO QAN[T]__a022ee860c.jpg,dalong,OO QAN[T],https://www.dalong.net/reviews/00/0h66/0h66_p_e.htm,https://www.dalong.net/reviews/00/0h66/p/0h66.jpg,exact,22d6fa274a1209aedc698d2bc084d45db1e37f4f4be54a09b6e9f3d693bfdc88,290,180,
HG 1/144 OO RAISER GN CONDENSER TYPE,downloaded,HG 1_144 OO RAISER GN CONDENSER TYPE__d1175bba75.jpg,gunpla_gallery,GN-0000RE+GNR-010 00 Raiser GN Condenser Type,https://gunplagallery.com/kits/266-hg-gn-0000re-gnr-010-00-raiser-gn-condenser-type,https://s3.amazonaws.com/gunplagallery/catalog/266_original_Hg00-raiser-condenser.jpg,source_model_code_cross_source,7e713c7cd1d5797e1600cf94b71c5e8ace37f6df2177122d08bd436ba56e3280,1200,731,
HG 1/144 OO RAISER+GN SWORD III,downloaded,HG 1_144 OO RAISER+GN SWORD III__6bb9f82ed3.jpg,dalong,OO Raiser + GN Sword III,https://www.dalong.net/reviews/00/0h54/0h54_p_e.htm,https://www.dalong.net/reviews/00/0h54/p/0h54.jpg,exact,354e000ad16cc31f93eb8526af07cb2bc4e80af4d5b4b672b3f306ae7c9f9e69,289,176,
HG 1/144 OO-RAISER DESIGNER'S COLOR Ver.,downloaded,HG 1_144 OO-RAISER DESIGNER'S COLOR Ver__5febd3f013.jpg,gunpla_gallery,GN-0000+GNR-010 00 Raiser (Designer's Color Ver.),https://gunplagallery.com/kits/234-hg-gn-0000-gnr-010-00-raiser-designer-s-color-ver-,https://s3.amazonaws.com/gunplagallery/catalog/234_original_Hg00-00-raiser.jpg,source_model_code_cross_source,64d4df3419bcd043846bf9d609fd32d7cf1169a0c7ed5af69979697a6664b851,1024,625,
