"sha256","canonical_name"
"5f8c00ce07b5cb1430e447fc0f0a7cccf67a748aba71684d2b385078115ef07e","HG 1/144 MS-06R-1A ZAKU II BLACK TRISTARS"
"e7e5b5e93862b9a21ccf0dd51fb85d3ba22dfc62f17dd195d8de6913278a05db","HG 1/144 MS-06R-1A ZAKUII GAIA/MASH CUSTOM"
"2dfc53e157f1ae820911012a4f3fc73ff9f9a92a9093b0ee3c0e8cf0716d5348","HG 1/144 MS-06S ZAKU II PRINCIPALITY OF ZEON CHAR AZNABLE’S MOBILE SUIT Red Comet Ver."
"13d2d76a6effd43c55d65066cb9b51d5a3736c6d4feb37b685e44bf9a960c88d","HG 1/144 MSA-009 RICK DIAS (RED)"
"279bef7e2e570c782ab6b5dbb169184fcc9c797b2d06d64f8e7faeed09119de0","HG 1/144 MSM-07E Z'GOCK E"
"679e12193d5c30783365f06e6d43cb317194658f642a5f51e33e4da5a572ab0e","HG 1/144 MSM-07S Z'GOCK (CHAR'S CUSTOM)"
"5fba6201997e4c723dd2a5edb5291dbe70fc721ef968f29fb519bf84b716c79f","HG 1/144 NEMO (Z Ver.)"
"64ffe11db1d47ec19c541a45cae05a6e20427ccc80b004820e50c94dc370501a","HG 1/144 R01 AILE STRIKE GUNDAM"
"6e864d59d65e2619520ddfe3d00d1cb17737326b63a2cccf876ac890b34b6d0d","HG 1/144 R02 DUEL GUNDAM"
"d1cb18b9436439e0ec8e8a7a129155b0413beb8162ba57c34f3d1e6c26c8fd0a","HG 1/144 R03 BUSTER GUNDAM"
"94da6fd0576becdb5fde66ca4dc8873736927e13204fe31ed60213ac1f1e355d","HG 1/144 R04 BLITZ GUNDAM"
"fbb4daf0119419921727bda93f859be3ba0443c1280f328afa5795831e59d69b","HG 1/144 R05 AEGIS GUNDAM"
"f1d92a6157d5d3745cfbfc2d7ae1a12aa68937ac5bcb3db4da8b4bba59cdb876","HG 1/144 R06 MOBILE GINN"
"4a0fd2890c2c072b572fc33da39a81ab721123795b60e81bc2ae35c31bf6dfd8","HG 1/144 R07 MOBILE CGUE"
"cadab7318b1a1a0a39332de345a1eccd41a2c842fef3226245463278896bfc9e","HG 1/144 R08 CALAMITY GUNDAM"
"c3e6402b65d454548c0a6ccf588fc584f7d153a47c68bf491e840bdb623b0a47","HG 1/144 R09 FORBIDDEN GUNDAM"
"5d5d13cc1cf909bcf2b9eedf1f44dc6584f101573b7aac9516b374d81343d37f","HG 1/144 R10 RAIDER GUNDAM"
"e17670de15a6a26479b30d02a5ecf6c7ff4aad7e5b5b33f439b37df31e234794","HG 1/144 R11 LaGOWE"
"9e7012dad7c92b596c9df8ad1c9fec3ca756a77f6a5141219425cf761308be7a","HG 1/144 R12 MOBILE BuCUE"
"8c12b996440cb674f44e0696aa736e9f19401f6cc5bb1c614a56db7ce8d66ec8","HG 1/144 R13 PROVIDENCE GUNDAM"
"4156548d2531594df10e2389d9404e35908fe90c7cdb0906f0d8417d0b32f7d2","HG 1/144 R14 JUSTICE GUNDAM"
"0b2387f0b542175b756d76b13b9cb3c2177a2352a6c6e0dea3ac3bddaaafbabe","HG 1/144 R15 FREEDOM GUNDAM"
"6f9ca0176a6b2460dcb5a5b68d1e346487c02e3b1b62abb6e105c9ab1346ddfd","HG 1/144 R16 M1 ASTRAY"
"b41ad70c72bc64633e220249a361e7aeb9b641be99f3426ab71e7702a1ec65d5","HG 1/144 R17 PERFECT STRIKE GUNDAM"
"278635481f3618133c5b7753282d5988036c05fa1784696e420004674e0687ff","HG 1/144 ReZEL (CAPTAIN MS)"
"dc6b9c942304f2c52fa62810426b60ceaf3a5caea7d4b3c480a37f597736f7e6","HG 1/144 RICK DOM II LIGHT GREEN VERSION"
